,yorum,duygu
3385,13 aydır kontör yüklemiyorum turkcell e de 4 lira borcum varmis sie ödemicem,olumsuz
3386,Şuan büyük hayal kırıklığı olmadı turkcell zamansız mesaj atıyorsun atma,olumsuz
3387,Turkcell ne iciyo yaa allah askina ??? Son reklam slogani : cekim gucunde amerikanin onundeyiz ????????,olumsuz
3388,Misket oynayan rapçi zenciler T Dog ' u aramaya çalışıyor ve telefon çekmiyor! Evet bu bir Turkcell reklamı. Bu... http://fb.me/75moR5c0L,olumsuz
3389,Turkcell Reklamı-Ankara Misket Oynayan Zenciler-Turkcell çekim ...: http://youtu.be/q3iv2WtN5k4 Bu reklama bakilirsa ben ABD li bir zenciyim.,olumsuz
3390,"Ve tatil sonrası bu bi dram işte ?? (@ Turkcell İzmir Plaza in İzmir, Türkiye) https://t.co/V4fZE7Xhbj",olumsuz
3391,@Turkcell zorunlu pop up mesajlari sayesinde turkcell olarak musterilerinize neden zorla biseyleri onaylatiyorsunuz ki?,olumsuz
3392,Turkcell'in projeksiyon kampanyası tam beklediğim gibi. 4.5G hız verip 15 gb kota koymak. 4.5G hızla 15 gb kotanın 10 dk var. Ne anladık ki?,olumsuz
3393,şu turkcell in internetinin hızlı olduğu tamamen şehir efsanesi avea turkcellden en az 2 kat daha hızlı denedim heryerde turkcel berbat,olumsuz
3394,Turkcell işportacılığa başlamış.,olumsuz
3395,@Turkcell Turkcell kendim kullanmadığımız gibi etrafımda ailem yakınlarıma da kullandırtmam. Turkcell senin zihniyetin habire geçirmek yazık,olumsuz
3396,@Turkcell Bir daha turkcell hat almakmı Allah korusun... Yaşasın vodafone ticari kaygı düşünmeyen güçlü vodafone sen çok yaşa...,olumsuz
3397,Ya turkcell bi git işine,olumsuz
3398,Resmen  hat değil sıkıntı dert aldik turkcellden @Turkcell @TurkcellHizmet,olumsuz
3399,Pazarlar kaybolsaa (@ Turkcell Demsan Karasu in SAKARYA) https://t.co/ZA5V4ubKNN https://t.co/1E4N1EuSgf,olumsuz
3400,O kadar para verip kullanılmış numara satın aldim Teşekkürler turkcell,olumsuz
3401,@feykvelad paket yapcaktım turkcell bikaç tl aldığı için tekrar yükledim...,olumsuz
3402,@KVKTurkiye @SamsungMobile #tlfdeğişimiistiyorum tlfmu buyaka turkcell bayii aytel aracılığıyla kartal kvk merkezine teslim ettim çüzün ltfn,olumsuz
3403,@superonlinetr her gün aranıp rahatsız edildiğim TURKCELL superonline tez zamanda Allah belanızı verir inşallah,olumsuz
3404,Telefonuna gelen mesaji hemen açiyorsan bekledigin biri vardir 2-3 dakika sonra açiyorsan pek önemsemiyorsun dur bakmiyorsan turkcell’dir,olumsuz
3405,@Kaan_Terzioglu ben ve eşim defalarca turkcell çalışanlarıyla konuştuk ve durumu anlattık ama bizi icraya verdiniz biz hiç bir zaman,olumsuz
3406,Turkcell sen iflah olmaz bir kazıkçısın,olumsuz
3407,@Kaan_Terzioglu yanında kalıyoruz turkcell fatura üzerinden t60 telefon aldık ilk faturaları ödedik yasaklar başlayınca faturaları ödeymedik,olumsuz
3408,"An itibariyle fatura takipten 2,turkcellden 2,paket kalandan 3 tane msj geldi..bu kdr msja ne gerek var? @Turkcell",olumsuz
3409,"Turkcell Superonline wifi'imiz calismiyor. Musteri hizmetlerini aradim, izmir geneli internet kesintisi vardir bant kaydi yayinladilar ????????",olumsuz
3410,Turkcell bile bicok yerde cekmeyebiliyor bu nasil bi dunya oldu,olumsuz
3411,@forzabesiktas inadına turkcell kullanıyorum vodafone almayacağım. inat değil mi ? #vodafone senden nefret ediyorum bir beşiktaşlı olarak...,olumsuz
3412,Kaç bit 1 bayt eder desen polise ihbar eder ama turkcell 4.5G 375 mbps dediklerinde sevinçten havaya uçuyor.  Ne anladın ya sen bi anlatsana,olumsuz
3413,turkcell binasında avea'nın çekmemesi,olumsuz
3414,Sevdiklerimle dakika yapmadan rahat rahat konusamazmiyim aq delirme beni turkcell,olumsuz
3415,"Pazar pazar ?? (@ Turkcell İzmir Plaza in İzmir, Türkiye w/ @hzlgnnc) https://t.co/1kSC8zkGBV",olumsuz
3416,Ben yarın nasıl işe gidicem Turkcell bu sefer kovacak beni,olumsuz
3417,bi turkcell değildik ama biz de çok çektik,olumsuz
3418,Bezdirdin artık turkcell,olumsuz
3419,Turkcell faturalı hat kullanmayın. Adamlar en çok küfür yiyenler sıralamasında ilk 3'de olmak için dev çaba harcıyor.,olumsuz
3420,@dnzolgn21 ile turkcell arasindaki savasa taniklik etmek istemezsiniz ????,olumsuz
3421,10 günde internet paketi bitiyor ya.  20 günlüğüne bir fatura parasına internet aldık. Ahh turkcell ahh,olumsuz
3422,"Sabah sabah manita mesajıyla uyanmak yerine turkcell mesajıyla uyanıyorum , ilahi adalet.",olumsuz
3423,Yil olmus 2016 saatlerdr  Turkcell olmasina ragmen sebeke yok net cekmiyor dogru durust bu nasil istir,olumsuz
3424,@Turkcell istanbul'un göbeğinde çekmeyen turkcell keyfi.. Nasıl yapsak bu durumu ?,olumsuz
3425,@lemmyster Megabayt falan kalmadı amk videocusu brazzers kameramanımısın yeter bilader kuran çarpsın turkcell ağladı aq,olumsuz
3426,"@TurkcellHizmet yurtdışında yaşıyorum, Turkcell müşterisi değilim, gene de fatura alıyorum... ??????",olumsuz
3427,"Baktı ki bu kız geceleri uyumuyor, yapıştırdı kampanyayı şerefsiz Turkcell. Ama sağol cnm ya ben almim ?? https://t.co/z1gfXSIn6A",olumsuz
3428,Turkcell bi rahat birak beni ya gece bile mesaj atıyo arkadaş ??,olumsuz
3429,@Kaan_Terzioglu  Turkcell i bari israilcell yapında tam olsun,olumsuz
3430,@mrv35ksk hım turkcell bugün çok kötüydü??,olumsuz
3431,"Sen hiç WiFi ye bağlı olduğunu sanıp saatlerce nette video,foto tıkladıktan sonra Turkcell den gelen acı mesaj ile yüzleştin mi?",olumsuz
3432,aq turkcell I parasıyla tl alamıyoz ya,olumsuz
3433,Turkcell : Cep telefonu soygununa son verilsin - Kampanyayı İmzala! https://t.co/2JiTeqeyZK @ChangeTR aracılığıyla,olumsuz
3434,Annemin turkcell t40 ile siteye girdim çıkış yapamıyorum sitede mahsur kaldım acil yardım,olumsuz
3435,"@sebosserver allahım bir de hattımı turkcell e taşıyıp artı bir de faturalı yapmış, NEDEN FATURALI",olumsuz
3436,Az kaldı sizden kurtulacağım kaç kere oldu sizi uyardım edirne hamzabeyli köyünde turkcell çekmiyor diye kaale almıyorsunuz az kaldı az.,olumsuz
3437,@Gamzeessss turkcell utansin ne diyim,olumsuz
3438,İlahi turkcell çekim problemim var diyorum 2 g ye yönlendiriyor beni millet 4 .5 g geçiyor ben 2 g????,olumsuz
3439,@GamerRocko @erenminareci @ugurreyizburda abi benim internet yayında mobildeyken bile donuyo turkcell süperonline,olumsuz
3440,2 aydır şu Turkcell Tv var. Bi çözemedim amk makinesini.,olumsuz
3441,"@TurkcellHizmet 4,5G ye uyumlu sim kart Turkcell de ücretsizmiş ya ücret talep eden gsm şirketi var mı acaba",olumsuz
3442,App Store a bağlanamıyor ne demek la turkcell kullanıyoz oğlum ne ayak https://t.co/2HdjP21Enx,olumsuz
3443,@TurkcellHizmet gerek kalmadi 5 ay boyunca yardimci olamadiniz.. @VodafoneTR ye gectim..15 yilin sonunda bye bye hirsiz Turkcell!,olumsuz
3444,@Turkcell tabii bu ülkede yalandan bırak ölmeyi yalancı yaftası yediği görülmüş mü? Hükümetin turkcell ine kim laf edebilir? @memetsimsek,olumsuz
3445,Sayın twitter senin baban turkcell in sahibi mi amk surekli mesaj a,olumsuz
3446,Turkcell canlı hizmetteki uluhanla yakında evlenicez,olumsuz
3447,"@KivancDolgun olm nasıl yurtdışı turkcell ya, vodafone direk 9 gün ücretsiz paketi kullandırıyor ?",olumsuz
3448,kendi hatasını bile kabul etmeyen turkcell valla yıldım ya,olumsuz
3449,Doğadan'ın yayından kaldırılan reklamı;Turkcell'in soykırımdan bahsetmeyen özürü;şimdi de Siemens'in kamuoyu açıklaması:Houston bi sorun var,olumsuz
3450,"+yetmiyor,aynı sorunu internette 2008den beri şikayet eden bir sürü forum başlığı var ama turkcell umursamamış olmalı.dolandırıcılığa imkan.",olumsuz
3451,"Turkcell müşterisi değilken kredi kartınızdan 250 lira çekilmesi, turkcell'in sizinle paylaşmadığı fatura numarasını size sorması",olumsuz
3452,Turkcell @TurkcellHizmet görüntüdeki maile benzer en az 10 mail aldım. İnsanları bilgilendirseniz iyi olur. https://t.co/1lkApKETzB,olumsuz
3453,Annem gelsin de Turkcell i bi arasın aq,olumsuz
3454,Tam turkcell e soverken net gitti,olumsuz
3455,Yine 55 lira fatura ödedim ZALIM turkcell,olumsuz
3456,turkcell senin ben ananı avradını sikeyim. en iyi hat diye tahta kurulmuşsunuz inşallah batarsınız oruspu çocukları bu devran böyle gitmez,olumsuz
3457,Turkcell müşterileriyle dalga mı geçiyor? Öğlen 532' yi aradım. Ulaşılabilir olduğum bilgisi arayanlara gitmesin dedim. @TurkcellHizmet (1),olumsuz
3458,Ne demek telefon faturam daha şimdiden 201 lira oldu ayı 500le mi kapatıcam ben Turkcell ??????,olumsuz
3459,@TurkcellHizmet Bolu'nun Seben ilçesinde 1 saattir tüm turkcell telefonlar çekmiyor. Geçen senede aynı durum olmuş ve 3 gün sürmüş.Açıklama?,olumsuz
3460,"Turkcell bir algoritma değiştirdi herhalde, internet paketleri yarısı kadar dayanıyor artık. @turkcell",olumsuz
3461,lanet olsun bu aşka lanet olsun bu sevgimize sen neden bana böle yaptin lanet olsun hayat hayatım turkcell,olumsuz
3462,Gerizekalılar???? — Turkcell İletişim Merkezi'dayım Bursa'da https://t.co/awcMBQrcJU,olumsuz
3463,Bu turkcell ne kadar kalabalık insanların tek derdi telefon ya ??,olumsuz
3464,"@ttlmnbryha turkcell 4,5 G?  Kullanmıyor musun",olumsuz
3465,@Vodafonedestek  telefonum evimde çekmiyor. Turkcell e geçmek istiyorum. Cayma bedeli ödeyecek miyim?,olumsuz
3466,@Turkcell internetizinin yarısı kadar bizden size hediye diyorsunuz ama faturama 9 tl geçiriyorsunuz hayırdır turkcell noldu bizim hediye?,olumsuz
3467,@Rivokhay turkcell'den çıt çıktı mı? noldu?,olumsuz
3468,Dolandırıcıların Son Numarası TURKCELL adıyla sahte borç bilgisi gönderiyorlar https://t.co/zvgJ99dYHl,olumsuz
3469,"DİKKAT DİKKAT, bilhassa Turkcell fatura borcunuz var sahte e-postaları gelmeye başladı. Sakın açmayın, virüslü.",olumsuz
3470,@TurkcellHizmet #turkcell  turkcellden defalarca fatura ödeme mail geldi ve gelmeye devam ediyor viral mailler ...,olumsuz
3471,Turkcell Semanın işini göremeyince yalan bu aq servisi diyip soyleniyo size naapmalıyım? :(,olumsuz
3472,"@TurkcellTVPlus İlgili Arkadaşlar Turkcell tv beni hatırla özelliği çalışmıyor, eskiden girerdi otomatik girmiyor bilginize",olumsuz
3473,@KonyasporYorum onlara verilecegini zannetmiyorum ama turkcell türk telekom THY gibi isimlerin sponsor olmasini isteriz,olumsuz
3474,O değil artık Turkcell de mesaj atmıyor.,olumsuz
3475,Bana odun dediğiniz için utanmalısınız???? @ Erzurum Turkcell Global… https://t.co/DysryLxcF5,olumsuz
3476,turkcell'e şikayette bulunuyoruz baz istasyonu kurulcak malınız varsa önersenize :)) diye cevap geliyor MÜTHİŞ HİZMET,olumsuz
3477,Turkcell sana 2gb internet bırakıyorum. Ona iyi bak,olumsuz
3478,"@TurkcellHizmet 10:04 itibari ile zigzakfon diye bir servisten,Turkcell ödeme sistemi ile 14 tl ödeme alınmıştır.Bu benim onayım olmadan",olumsuz
3479,"Üç numara astigmatla jilet gibi eyeliner çeken ben, her ay 265251 lira fatura ödememe rağmen odamda çekmeyen turkcell",olumsuz
3480,Bi arkadasin Turkcell faturasıni açtiktan sonra şirketin bütün sistemi çöktü. Buaralar maillerinize dikkat edin. Heran hacklenebilirsiniz.,olumsuz
3481,Hay aq turkcell evden çekmiyor bence 4.5g çikti diye fakirleri sikiyorlar aq,olumsuz
3482,@tanrisiyim @Turkcell kazık aga bu turkcell ya,olumsuz
3483,"Avea numarasıyla turkcelle geçtim , numarayi değiştirip turkcell numarasıyla aveaya geçtim ne bu şimdi",olumsuz
3484,murat boz bozmadi reklami ve turkcell 4 bucuk değil bucak reklami vaaay ne yaratici dimi .......,olumsuz
3485,@Turk_Telekom yedek sim istedik.. ankara kızılay 2 bayiniz yok dedi. aynı gün turkcell'e taşıdım.. sizden bir cacık olmaz.,olumsuz
3486,"#ŞudaBirGerçekKi Vodafone hat kullandığı halde virüs olarak gelen Turkcell mailine tıklayan, açık ara farkla maldır. Tüm virüsleri hakeder??",olumsuz
3487,@Turkcell saat 10-11.5 arasında  turkcell hiçbir hat çekmedi kırıkkale yenişehirde. Avea kullananlar bile bu kadar uzun süre çile çekmedi,olumsuz
3488,Yediğim kazıklara rağmen hala turkcell kullanıyorum,olumsuz
3489,Turkcell'den Avea'ya geçtim kendimi yaşlanmış gibi hissediyorum aq,olumsuz
3490,@ihsanpasaa LAN BEN TURKCELL DEĞİLİM Kİ,olumsuz
3491,Vallahi bu turkcell kafamı bozuyor 9 gb internet yine bitti yine yine ??????,olumsuz
3492,"sinirsiz internet paketime hayali bir sinir koyan serefsiz turkcell yuzunden uzulerek aranizdan ayriliyorum, kiby",olumsuz
3493,Turkcell superonline müşteri hizmetlerine ulaşmak survivorda yarışmaktan daha zor ??,olumsuz
3494,Firmadan kaçırttığınız müşterilerinize sorun ne kadar #bağlıyızbiz #turkcell #sennereyebağlısınturkcell #sizinyapacağınızkampanyayatükürük,olumsuz
3495,"Yeni tecavüz sistemi:Turkcell'e gidip para veriyorsun, ordan bir kısmı Derneğe aktarılıyor ve çocuğuna tecavüz ediliyor. #UnicefComeToTurkey",olumsuz
3496,Turkcell'e parası yetmeyen boykot ediyo aq,olumsuz
3497,1 kuruşum vardı onuda turkcell aldı. https://t.co/m5MoNOfo1P,olumsuz
3498,arkadaşımın Turktelekom hattıyla benim Turkcell hat arasında speedtestte benim hat nal topladı? sebebi bilen? :(,olumsuz
3499,Gece 12 den sonra Turkcell bu internet e bişi yapıyor amk çok yavaşlıyor,olumsuz
3500,@LenovoTurkiye lenovo p1 modeliniz ne turkcell ne de vodafone da 4.5 g yi desteklemiyo..ulan yeni yelefon satiyosunuz telefon tırt cikiyo,olumsuz
3501,"Biri der uygulamadan bak.Biri der olmaması gerek ama olmuş.Turkcell'i bıraktığıma pişmn ettiniz.Teşekkürler, süper destek. @VodafoneDestek",olumsuz
3502,@VodafoneTR  internet turkcell e göre çok yavaş,olumsuz
3503,ya turkcell kullanan var mı telefon ne wifiden ne veriden internete bağlanmıyo napcam aq,olumsuz
3504,Tecavüze Sponsor Olma TURKCELL @Turkcell https://t.co/vi8FemzWWF via @ChangeTR,olumsuz
3505,#kimgitmeli turkcell gitsin mk..,olumsuz
3506,@aynenustad Turkcell pahalı,olumsuz
3507,25 tl lik faturamı 60 tl yapan zalım turkcell duyyyyyyy @papatyakokan @iremayanx,olumsuz
3508,Bu açığı kesinlikle faturalara yansıtacaklar...Turkcell’in borçları patladı https://t.co/hVswLmpe7I @gazetesozcu aracılığıyla,olumsuz
3509,Sen turkcell 'sin şehrin orta yerinde netin cekmemesi ne demek??,olumsuz
3510,"Bu saatde milleti sevgilisi arar , beni turkcell mk??",olumsuz
3511,NAH ALIR TURKCELL FATURASINI BENDEN,olumsuz
3512,Inanmiyorsunuz ama gerçekten bütün servetimi turkcell ve vodafonea bağışladım bu ay ben böyle bişey görmedim amk,olumsuz
3513,Sen milyon ları turkcell den kazan sonra vadafone mi avea mı yapma yıldız ablaaaaa ???? https://t.co/rWBhDQJTqa,olumsuz
3514,Kanal 7 denilen embesil kanalda film izliyorum;her 10 dakikada 10 dakika reklamla.Reklamın 9 dakikası turkcell.Yiyin efendiler yiyin,olumsuz
3515,@VodafoneTR Turkcell'den hattımı taşıdığım için 1 ay dolmadan pişman ettiniz teşekkürler,olumsuz
3516,@VodafoneTR müşteri hizmetleriniz rezalet. Ukala insanları çalıştırıyorsunuz. Ayrıca dolandırıcılığa göz yumuyorsunuz. Turkcell'den,olumsuz
3517,Turkcell bayisine gidip sevgilimden mesaj gelmiyor dedim sevgiliniz yok gözüküyor beyefendi dediler. nasil olmaz ya dedim disari attilar,olumsuz
3518,Turkcell EU öyle hızlı çalişyor ki twittleri tek tek elden ele iletsem daha hızlı gidecek !!..??,olumsuz
3519,Tt arena ve Vodafone arenadan sonra Fenerbahçe stad ismini turkcell e vermeyerek büyük bir stratejik yanlış yapmıştır,olumsuz
3520,turkcell'in hırsızlığı https://t.co/d1KiVwMaeV #ekşiduyuru,olumsuz
3521,Az kaldı turkcell e kayyum atanacak  @Turkcell borçlarınız patladı,olumsuz
3522,@SuperYardim telefonun başında çaresiz bekliyorum bekliyorum ama çalmayacak biliyorum. Ara beni Turkcell numaranı ver ben arayayım,olumsuz
3523,@Turk_Telekom sözde en yakın zamanda ilgilenip dönüş yapıyordunuz merak etmeyin pazartesi turkcell e geçince dönersiniz!,olumsuz
3524,@TurkcellHizmet orada mısın turkcell madem ben mağdur oldum siz de rahatsız olun. #turkcell #acemilik #mağduriyet olmayan müşteri hizmetleri,olumsuz
3525,@TurkcellHizmet 5 tane call center ile konuşup sonuca varamamak en kadar profesyonel olduğunuzu gösterdi teşekkürler Turkcell!!!,olumsuz
3526,Turkcell reklamı yayından kaldırılan Tilbe'nin dramı. https://t.co/Tlta7egQJ6,olumsuz
3527,Yurtdışına çıkıcam için paket azaltmak istedim yapamadınız işlemi Turkcell eşittir hayalkırıklığı @Turkcell @TurkcellHizmet @TcellPlatinum,olumsuz
3528,@YildizzTilbee sen vodafone gibi anı yaşarken ben Turkcell gibi seni heryerde cekemem yıldızcım,olumsuz
3529,Turkcell'in yildiz tilbe reklamini yayindan kaldirmasi kadar sacma bisey olamaz,olumsuz
3530,@YildizzTilbee turkcell gerisi tırt,olumsuz
3531,Turkcell superonline a abone olmayın. Oldurtmayın .Bu ülkede adam akıllı internet sağlayıcısı yok. Superonline ısrarla modem değişmiyor.,olumsuz
3532,"Türkiye' nin en berbat, en rezil hizmet veren kuruluşu Turkcell Superonline' dır!",olumsuz
3533,@YildizzTilbee Vodofon Abla Turkcell Pişmanlık Resmen,olumsuz
3534,@YildizzTilbee Kesinlikle Vodafone. Turkcell'den ve Avea'dan hâyır gelmez Yıldız abla☺️,olumsuz
3535,@superonlinetr turkcell tv de surekli yasadigimiz sikinti artik can sıkmaya basladi ??,olumsuz
3536,@YildizzTilbee Ablaa çakma Turkcell??,olumsuz
3537,Yoldun beni turkcell,olumsuz
3538,turkcell tam bir avea gibi çekmiyor,olumsuz
3539,@YildizzTilbee turkcell i bıraksın herkes arkadaşlar protesto ediyoruz. Ben bıraktım bilee,olumsuz
3540,@YildizzTilbee Turkcell  pardon yahudicell haric hepsini deneyebilirsn,olumsuz
3541,@YildizzTilbee Turkcell den hiç memnun değilim Turkcell tamamen kazıkçı,olumsuz
3542,@YildizzTilbee turkcell hariç hepsi ablacım.,olumsuz
3543,Turkcell müziğe sıla yazıyorum hasta düşmüş yar sılada türküsü çıkıyo. O kadar para ödüyorum aylık içim yanıyo,olumsuz
3544,Turkcell kimin? 17/25 suçluları ile Turkcell arasında bir bağ var mı? https://t.co/Y04poW5gMs,olumsuz
3545,Turkcell e bile borcum var amk yaa https://t.co/v4hleNX6v9,olumsuz
3546,@GarantiyeSor kredi kartımla turkcell faturami ödemek istiyorum yanliz  komisyon bedeli çıkıyor neden ?,olumsuz
3547,@VodafoneTR arkadaslar TURKCELL olan bunlara sakin gecmesin ya da gecip bi farki gorsun inanilmaz geri bir callcenter var burda REZALET,olumsuz
3548,Yaf turkcell mesaj atti interetim biticemis 2 gune off,olumsuz
3549,@VodafoneTR Turkcell in yanindan gecemezsiniz size gectim pisman oldum,olumsuz
3550,@AkarRidvanakar adam turkcell kullaniyo diye kovulurmu,olumsuz
3551,Halkın takımı oldugunu iddia eden 8taş turkcell kullanıyor diye işçisini koymuş soran olursa biz çok şerefliyiz,olumsuz
3552,Beşiktaş Vodafone inşaatında çalışırken Turkcell kullanan mühendisin görevine son verdi. via Akar Rıdvan Akar,olumsuz
3553,Turkcell icra takip buyrun ??,olumsuz
3554,@TurkcellHizmet kadikoy acibadem'de turkcell hatlarimizla sabahtan beri arama yapamiyoruz. Sorun nedir? Ne zaman cozulecek?,olumsuz
3555,Vodafone senin de Allah bin belanı versin. Artık sayenizde Turkcell'e düdüklenicem????,olumsuz
3556,Turkcell beni attan eşşeğe bindirmeye çalışıyo sanırım ?? https://t.co/wUzjW0EDFP,olumsuz
3557,Turkcell teşekkür kabul etmiyo &lt;3 https://t.co/FOUmvnlLJY,olumsuz
3558,Turkcell Müzik yapma bunu cınım ya İremDerici'nin albümü nerde?!?!???!!!????,olumsuz
3559,"Telefonum arızalandı, eve gelen Turkcell elemanları bozuk cihazın yerine geçici olarak kullanmam için tost makinesi verdiler",olumsuz
3560,Turkcell 30 liralık duran faturaya 60 lira geçirdi. Üstüne dalga geçer gibi de 100mb internet yolladı. Allah razı olsun ya,olumsuz
3561,Turkcell yuzunden whatsapp bile dalga geciyor benimle. https://t.co/ymqjZ6l6rK,olumsuz
3562,"Dort kisilik arabada bir ben Turkcell kullaniyorum, saatlerdir bir benim internetim cekmiyor.",olumsuz
3563,@Onuryrdmc bizim ordaki turkcell verdi zaten numarami biliyorum p tesi gidicem agizlarina sicicam.,olumsuz
3564,#turkcell soyguncu olmuş..! 1 gb haftalık paket 3 gün içinde nasıl biter ? dowland bile yapmıyorum.. vicdansız turkcell allahtan kork...,olumsuz
3565,@TurkcellHizmet Turkcell Hesabim uygulamasina girerken surekli Mansur'un bilgilerini gormek zorunda miyim ? https://t.co/VprOyJ7Hvg,olumsuz
3566,Günaymıs da problem bizde sanırım ?? (@ Espark Turkcell İletişim Merkezi in Eskişehir) https://t.co/KwQY2VsC8R,olumsuz
3567,#turkcell den #avea ya geçtim.geçerken bakiyemdeki 10 tl yi de turkcell e bıraktım.giderayak son golü de attın turkcell.,olumsuz
3568,Turkcell 4 çekermiş biz yıllardır 31 çekiyoruz reklam ettik mi kendimizi..,olumsuz
3569,@DSmartDestek merhaba ben fatura mi gununden önce yatiriyorum interneti m şu anda internetim yok turkcell hat internetinden yazyrm.,olumsuz
3570,Ezik telekom ve hiçbir yerde çekmeyen avea birleşmesi reklamında kullanılan mor temalı dükkanın Turkcell göndermesi olması ÇOK ADiCE..!,olumsuz
3571,Yinemi günaydınn ?????? (@ Zeytinburnu KVK Turkcell Tim) https://t.co/Su9mIM29xR https://t.co/YXPBiKUnfS,olumsuz
3572,Sonunda vodafone hattına geçtim. Turkcell bi  daha beni ve yakınları mı nah bulur.,olumsuz
3573,@TurkcellHizmet Numaramı tekrar Turkcell taşımak istiyorum fakat; diğer operatörlerin iki kati ve daha fazlası fiyatlar ?? fiyatları düzeltn,olumsuz
3574,Onunla ben vodafone la turkcell gibiyiz.. oyle zit oyle dinamik.. o pacoz da turk telekom iste .. allahin yellozu ????,olumsuz
3575,Piç turkcell gider ayak geçirdi ??,olumsuz
3576,Seni Sevdimde Ne oldu Turkcell Efes Zengin Oldu…,olumsuz
3577,"Allah kimseye ""Turkcell kazık ama çok iyi çekiyor, Avea mal gibi ama ucuz"" dedirtmesin ya yeminle bıktım bu ikilemden",olumsuz
3578,Vicdansız turkcell gece internetimizi de geri aldı :/,olumsuz
3579,WhatsApp yüzünden telefonun mesajlar kısmıyla ilgilenmez olduk. Turkcell yakında WhatsApp dan mesaj atarsa şaşırmayın!,olumsuz
3580,Bakiyeyemiz yok diyee aratmayan turkcell bakiyemiz oluncaa sorulacak hesaplarimizi nasil odersiniz bilmiyomm,olumsuz
3581,﻿#ŞuAnHissederekSöylüyorumki turkcell superonline şimdi evler süper? bok süper!,olumsuz
3582,"@TurkcellHizmet İLE SORUN YAŞADIK(14.CADDEDE TEK TURKCELL BAYİSİ VAR).SORUNU KENDİ ARAMIZDA ÇÖZEMEDİK,DURUMU BİLDİRDİM,O ZAMAN DA ...",olumsuz
3583,@TurkcellHizmet YANİ TURKCELL MÜŞTERİ İLİŞKİLERİ SORUN ÇÖZEN DEĞİL SORUN ÇÖZEMEYİP İNSANLARI ÇİLEDEN ÇIKARAN BİR ÇALIŞMA SERGİLİYOR.,olumsuz
3584,"@TurkcellHizmet DEMEK Kİ TURKCELL BU KADAR YETENEKSİZ,SORUMSUZ,LAKAYT İNSANLARIN ÇALIŞTIĞI BİR KURUM VEYA???!!!",olumsuz
3585,"@TurkcellHizmet BENİM HATTIM SAHTEKARLIKLA TURKCELL'E TAŞINMIŞ,DURUMU DÜZELTİP BU SAHTEKARLIK HANGİ BAYİDE,NE ZAMAN YAPILMIŞ BİLGİ VERİN...",olumsuz
3586,@TurkcellHizmet TURKCELL MÜŞTERİ HİZMETLERİNİN HİÇBİR İŞE YARAMADIĞINI DÜŞÜNÜYORUM.BAZI GÖREVLİLER TELEFONA ÇIKIP EN KISA SÜREDE DİYOR..,olumsuz
3587,"@Kaan_Terzioglu İSMİM FATİH MEHMET YILMAZ,SAHTEKARLIKLA TURKCELL'E TAŞINAN NUMARAM 505 7677974, MAİL fmy70@hotmail.com , (TEL:532 1609477)",olumsuz
3588,@Kaan_Terzioglu HATTIMI HANGİ BAYİDEN TURKCELL'E GEÇİRMİŞLER ÖĞRENMEK İSTİYORUM.3 GÜN DENİLEN ÇÖZÜM SÜRESİNİ LÜTFEN SONLANDIRIN...,olumsuz
3589,@Kaan_Terzioglu BAZILARININ SAHTEKARLIĞI İLE SİZE GEÇEN HATTIMI GERİ İSTİYORUM.KOSKOCA! TURKCELL SORUNU ÇÖZEMİYOR...,olumsuz
3590,Canım yakında Turkcell bile sana gerizekalı abonemiz diye mesaj atacak haberin yok.,olumsuz
3591,"@Kaan_Terzioglu ANCAK 1 HAFTAYI GEÇTİĞİ HALDE TURKCELL DÖNÜŞ YAPMIYOR.HER GÜN ARAYIP BİLGİ İSTİYORUM,HER SEFERİNDE EN KISA SÜREDE DENİYOR...",olumsuz
3592,"@Kaan_Terzioglu MERHABA KAAN BEY,BENİM HATTIM BİLGİM DIŞINDA TURKCELL'E TAŞINMIŞ.DURUMU DİLEKÇE İLE BİLDİRDİM.72 SAATTE GERİ DÖNECEKLERDİ...",olumsuz
3593,@izmircandir tahminen turkcell duble pahalıdır.,olumsuz
3594,@isthatemre SIZ AVEA YA DUA EDIN  TURKCELL EVDEN UYE YAPIYOR SONRA DA EVRAKLARI KAYBETTIM TIME GEL TEKRAR EVRAK GETIR DIYE SMS ATIYOR,olumsuz
3595,@Turkcell TURKCELL TİM ELEMANLARI MÜŞTERİYE GÜLER YÜZ DEĞİL ANGRY BIRD TAKILIYORLAR,olumsuz
3596,@TurkcellHizmet TURKCELL 4.5 G YI HEDEFLIYOR AMA DAHA EVDEN EVRAKLARI TURKCELE BİLE GÖNDEREMIYOR NASIL OLACAK BU 4.5 G,olumsuz
3597,İnternet neden bu kadar yavaş kardeş? Kablonet ayrı çekmiyor turkcell ayrı çekmiyor,olumsuz
3598,"@Kaan_Terzioglu @Turkcell düştüğümü durum bu, çekmeyen 3g için vodafone modem, Turkcelli olmanın cezası bu mudur? https://t.co/CNwZe3scOH",olumsuz
3599,@Turkcell TURKCELL I PROTESTO EDIYORUM EVDEN UYE HİZMETİ DOGRU DURUST İŞLEMIYOR,olumsuz
3600,En hayin sinsi kim biliyormusunuz turkcell tabiki,olumsuz
3601,Turkcell reklamında Türkiye'de Superonline lidermiş ama o liderin interneti sürekli kopuyor aq iptal etcem aboneliği az kaldı @superonlinetr,olumsuz
3602,turkcell milleti ayakta sikiyo yemin ederim,olumsuz
